building	culture	subculture	faction	battlefield_building	artpiece	artpiece_animated	description	icon	disables	short_description	flavour	display_tooltip
att_bld_all_agriculture_grain_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_agriculture_grain_4	false	att_bld_all_agriculture_grain_4	att_bld_all_agriculture_grain_4	true
att_bld_all_agriculture_grain_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_agriculture_grain_4	false	att_bld_all_agriculture_grain_4	att_bld_all_agriculture_grain_4	true
att_bld_all_agriculture_grain_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_agriculture_grain_4	false	att_bld_all_agriculture_grain_4	att_bld_all_agriculture_grain_4	true
att_bld_all_city_major_ruins					campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins	att_bld_all_ruins	true
att_bld_all_city_minor_ruins					campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_settlement_ruin	false	att_bld_all_ruins	att_bld_all_ruins	true
att_bld_all_industry_major_generic_1	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_generic_1	false	att_bld_all_industry_major_generic_1	att_bld_all_industry_major_generic_1	true
att_bld_all_industry_major_generic_1	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_generic_1	false	att_bld_all_industry_major_generic_1	att_bld_all_industry_major_generic_1	true
att_bld_all_industry_major_generic_1	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_generic_1	false	att_bld_all_industry_major_generic_1	att_bld_all_industry_major_generic_1	true
att_bld_all_industry_major_mosaic_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_mosaic_2	false	att_bld_all_industry_major_mosaic_2	att_bld_all_industry_major_mosaic_2	true
att_bld_all_industry_major_mosaic_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_mosaic_3	false	att_bld_all_industry_major_mosaic_3	att_bld_all_industry_major_mosaic_3	true
att_bld_all_industry_major_mosaic_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_mosaic_4	false	att_bld_all_industry_major_mosaic_4	att_bld_all_industry_major_mosaic_4	true
att_bld_all_industry_major_pewter_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_pewter_2	false	att_bld_all_industry_major_pewter_2	att_bld_all_industry_major_pewter_2	true
att_bld_all_industry_major_pewter_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_pewter_2	false	att_bld_all_industry_major_pewter_2	att_bld_all_industry_major_pewter_2	true
att_bld_all_industry_major_pewter_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_pewter_3	false	att_bld_all_industry_major_pewter_3	att_bld_all_industry_major_pewter_3	true
att_bld_all_industry_major_pewter_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_pewter_3	false	att_bld_all_industry_major_pewter_3	att_bld_all_industry_major_pewter_3	true
att_bld_all_industry_major_pewter_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_pewter_4	false	att_bld_all_industry_major_pewter_4	att_bld_all_industry_major_pewter_4	true
att_bld_all_industry_major_pewter_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_pewter_4	false	att_bld_all_industry_major_pewter_4	att_bld_all_industry_major_pewter_4	true
att_bld_all_industry_major_pottery_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_pottery_2	false	att_bld_all_industry_major_pottery_2	att_bld_all_industry_major_pottery_2	true
att_bld_all_industry_major_pottery_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_pottery_2	false	att_bld_all_industry_major_pottery_2	att_bld_all_industry_major_pottery_2	true
att_bld_all_industry_major_pottery_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_pottery_2	false	att_bld_all_industry_major_pottery_2	att_bld_all_industry_major_pottery_2	true
att_bld_all_industry_major_pottery_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_pottery_3	false	att_bld_all_industry_major_pottery_3	att_bld_all_industry_major_pottery_3	true
att_bld_all_industry_major_pottery_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_pottery_3	false	att_bld_all_industry_major_pottery_3	att_bld_all_industry_major_pottery_3	true
att_bld_all_industry_major_pottery_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_pottery_3	false	att_bld_all_industry_major_pottery_3	att_bld_all_industry_major_pottery_3	true
att_bld_all_industry_major_pottery_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_major_pottery_4	false	att_bld_all_industry_major_pottery_4	att_bld_all_industry_major_pottery_4	true
att_bld_all_industry_major_pottery_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_major_pottery_4	false	att_bld_all_industry_major_pottery_4	att_bld_all_industry_major_pottery_4	true
att_bld_all_industry_major_pottery_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_major_pottery_4	false	att_bld_all_industry_major_pottery_4	att_bld_all_industry_major_pottery_4	true
att_bld_all_industry_minor_generic_1	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_generic_1	false	att_bld_all_industry_minor_generic_1	att_bld_all_industry_minor_generic_1	true
att_bld_all_industry_minor_generic_1	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_generic_1	false	att_bld_all_industry_minor_generic_1	att_bld_all_industry_minor_generic_1	true
att_bld_all_industry_minor_generic_1	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_generic_1	false	att_bld_all_industry_minor_generic_1	att_bld_all_industry_minor_generic_1	true
att_bld_all_industry_minor_quarry_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_quarry_2	false	att_bld_all_industry_minor_quarry_2	att_bld_all_industry_minor_quarry_2	true
att_bld_all_industry_minor_quarry_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_quarry_2	false	att_bld_all_industry_minor_quarry_2	att_bld_all_industry_minor_quarry_2	true
att_bld_all_industry_minor_quarry_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_quarry_2	false	att_bld_all_industry_minor_quarry_2	att_bld_all_industry_minor_quarry_2	true
att_bld_all_industry_minor_quarry_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_quarry_3	false	att_bld_all_industry_minor_quarry_3	att_bld_all_industry_minor_quarry_3	true
att_bld_all_industry_minor_quarry_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_quarry_3	false	att_bld_all_industry_minor_quarry_3	att_bld_all_industry_minor_quarry_3	true
att_bld_all_industry_minor_quarry_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_quarry_3	false	att_bld_all_industry_minor_quarry_3	att_bld_all_industry_minor_quarry_3	true
att_bld_all_industry_minor_quarry_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_quarry_4	false	att_bld_all_industry_minor_quarry_4	att_bld_all_industry_minor_quarry_4	true
att_bld_all_industry_minor_quarry_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_quarry_4	false	att_bld_all_industry_minor_quarry_4	att_bld_all_industry_minor_quarry_4	true
att_bld_all_industry_minor_quarry_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_quarry_4	false	att_bld_all_industry_minor_quarry_4	att_bld_all_industry_minor_quarry_4	true
att_bld_all_industry_minor_tannery_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_tannery_2	false	att_bld_all_industry_minor_tannery_2	att_bld_all_industry_minor_tannery_2	true
att_bld_all_industry_minor_tannery_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_tannery_2	false	att_bld_all_industry_minor_tannery_2	att_bld_all_industry_minor_tannery_2	true
att_bld_all_industry_minor_tannery_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_tannery_3	false	att_bld_all_industry_minor_tannery_3	att_bld_all_industry_minor_tannery_3	true
att_bld_all_industry_minor_tannery_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_tannery_3	false	att_bld_all_industry_minor_tannery_3	att_bld_all_industry_minor_tannery_3	true
att_bld_all_industry_minor_tannery_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_industry_minor_tannery_4	false	att_bld_all_industry_minor_tannery_4	att_bld_all_industry_minor_tannery_4	true
att_bld_all_industry_minor_tannery_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_industry_minor_tannery_4	false	att_bld_all_industry_minor_tannery_4	att_bld_all_industry_minor_tannery_4	true
att_bld_all_industry_minor_weavery_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_weavery_2	false	att_bld_all_industry_minor_weavery_2	att_bld_all_industry_minor_weavery_2	true
att_bld_all_industry_minor_weavery_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_weavery_3	false	att_bld_all_industry_minor_weavery_3	att_bld_all_industry_minor_weavery_3	true
att_bld_all_industry_minor_weavery_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_industry_minor_weavery_4	false	att_bld_all_industry_minor_weavery_4	att_bld_all_industry_minor_weavery_4	true
att_bld_all_livestock_camels_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_camels_2	false	att_bld_all_livestock_camels_2	att_bld_all_livestock_camels_2	true
att_bld_all_livestock_camels_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_camels_3	false	att_bld_all_livestock_camels_3	att_bld_all_livestock_camels_3	true
att_bld_all_livestock_camels_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_camels_4	false	att_bld_all_livestock_camels_4	att_bld_all_livestock_camels_4	true
att_bld_all_livestock_cows_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_cows_2	false	att_bld_all_livestock_cows_2	att_bld_all_livestock_cows_2	true
att_bld_all_livestock_cows_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_livestock_cows_2	false	att_bld_all_livestock_cows_2	att_bld_all_livestock_cows_2	true
att_bld_all_livestock_cows_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_cows_3	false	att_bld_all_livestock_cows_3	att_bld_all_livestock_cows_3	true
att_bld_all_livestock_cows_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_livestock_cows_3	false	att_bld_all_livestock_cows_3	att_bld_all_livestock_cows_3	true
att_bld_all_livestock_cows_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_cows_4	false	att_bld_all_livestock_cows_4	att_bld_all_livestock_cows_4	true
att_bld_all_livestock_cows_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_livestock_cows_4	false	att_bld_all_livestock_cows_4	att_bld_all_livestock_cows_4	true
att_bld_all_livestock_horses_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_horses_2	false	att_bld_all_livestock_horses_2	att_bld_all_livestock_horses_2	true
att_bld_all_livestock_horses_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_horses_2	false	att_bld_all_livestock_horses_2	att_bld_all_livestock_horses_2	true
att_bld_all_livestock_horses_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_horses_3	false	att_bld_all_livestock_horses_3	att_bld_all_livestock_horses_3	true
att_bld_all_livestock_horses_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_horses_3	false	att_bld_all_livestock_horses_3	att_bld_all_livestock_horses_3	true
att_bld_all_livestock_horses_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_horses_4	false	att_bld_all_livestock_horses_4	att_bld_all_livestock_horses_4	true
att_bld_all_livestock_horses_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_horses_4	false	att_bld_all_livestock_horses_4	att_bld_all_livestock_horses_4	true
att_bld_all_livestock_sheep_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_sheep_2	false	att_bld_all_livestock_sheep_2	att_bld_all_livestock_sheep_2	true
att_bld_all_livestock_sheep_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_sheep_2	false	att_bld_all_livestock_sheep_2	att_bld_all_livestock_sheep_2	true
att_bld_all_livestock_sheep_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_livestock_sheep_2	false	att_bld_all_livestock_sheep_2	att_bld_all_livestock_sheep_2	true
att_bld_all_livestock_sheep_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_sheep_3	false	att_bld_all_livestock_sheep_3	att_bld_all_livestock_sheep_3	true
att_bld_all_livestock_sheep_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_sheep_3	false	att_bld_all_livestock_sheep_3	att_bld_all_livestock_sheep_3	true
att_bld_all_livestock_sheep_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_livestock_sheep_3	false	att_bld_all_livestock_sheep_3	att_bld_all_livestock_sheep_3	true
att_bld_all_livestock_sheep_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_livestock_sheep_4	false	att_bld_all_livestock_sheep_4	att_bld_all_livestock_sheep_4	true
att_bld_all_livestock_sheep_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_livestock_sheep_4	false	att_bld_all_livestock_sheep_4	att_bld_all_livestock_sheep_4	true
att_bld_all_livestock_sheep_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_livestock_sheep_4	false	att_bld_all_livestock_sheep_4	att_bld_all_livestock_sheep_4	true
att_bld_all_military_upgrades_1	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_1	false	att_bld_all_military_upgrades_1	att_bld_all_military_upgrades_1	true
att_bld_all_military_upgrades_1	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_1	false	att_bld_all_military_upgrades_1	att_bld_all_military_upgrades_1	true
att_bld_all_military_upgrades_1	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_1	false	att_bld_all_military_upgrades_1	att_bld_all_military_upgrades_1	true
att_bld_all_military_upgrades_armor_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_armor_2	false	att_bld_all_military_upgrades_armor_2	att_bld_all_military_upgrades_armor_2	true
att_bld_all_military_upgrades_armor_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_armor_2	false	att_bld_all_military_upgrades_armor_2	att_bld_all_military_upgrades_armor_2	true
att_bld_all_military_upgrades_armor_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_armor_2	false	att_bld_all_military_upgrades_armor_2	att_bld_all_military_upgrades_armor_2	true
att_bld_all_military_upgrades_armor_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_armor_3	false	att_bld_all_military_upgrades_armor_3	att_bld_all_military_upgrades_armor_3	true
att_bld_all_military_upgrades_armor_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_armor_3	false	att_bld_all_military_upgrades_armor_3	att_bld_all_military_upgrades_armor_3	true
att_bld_all_military_upgrades_armor_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_armor_3	false	att_bld_all_military_upgrades_armor_3	att_bld_all_military_upgrades_armor_3	true
att_bld_all_military_upgrades_armor_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_armor_4	false	att_bld_all_military_upgrades_armor_4	att_bld_all_military_upgrades_armor_4	true
att_bld_all_military_upgrades_armor_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_armor_4	false	att_bld_all_military_upgrades_armor_4	att_bld_all_military_upgrades_armor_4	true
att_bld_all_military_upgrades_armor_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_armor_4	false	att_bld_all_military_upgrades_armor_4	att_bld_all_military_upgrades_armor_4	true
att_bld_all_military_upgrades_weapons_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_weapons_2	false	att_bld_all_military_upgrades_weapons_2	att_bld_all_military_upgrades_weapons_2	true
att_bld_all_military_upgrades_weapons_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_weapons_2	false	att_bld_all_military_upgrades_weapons_2	att_bld_all_military_upgrades_weapons_2	true
att_bld_all_military_upgrades_weapons_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_weapons_2	false	att_bld_all_military_upgrades_weapons_2	att_bld_all_military_upgrades_weapons_2	true
att_bld_all_military_upgrades_weapons_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_weapons_3	false	att_bld_all_military_upgrades_weapons_3	att_bld_all_military_upgrades_weapons_3	true
att_bld_all_military_upgrades_weapons_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_weapons_3	false	att_bld_all_military_upgrades_weapons_3	att_bld_all_military_upgrades_weapons_3	true
att_bld_all_military_upgrades_weapons_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_weapons_3	false	att_bld_all_military_upgrades_weapons_3	att_bld_all_military_upgrades_weapons_3	true
att_bld_all_military_upgrades_weapons_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_weapons_4	false	att_bld_all_military_upgrades_weapons_4	att_bld_all_military_upgrades_weapons_4	true
att_bld_all_military_upgrades_weapons_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_weapons_4	false	att_bld_all_military_upgrades_weapons_4	att_bld_all_military_upgrades_weapons_4	true
att_bld_all_military_upgrades_weapons_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_weapons_4	false	att_bld_all_military_upgrades_weapons_4	att_bld_all_military_upgrades_weapons_4	true
att_bld_all_military_upgrades_wood_2	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_wood_2	false	att_bld_all_military_upgrades_wood_2	att_bld_all_military_upgrades_wood_2	true
att_bld_all_military_upgrades_wood_2	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_wood_2	false	att_bld_all_military_upgrades_wood_2	att_bld_all_military_upgrades_wood_2	true
att_bld_all_military_upgrades_wood_2	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_wood_2	false	att_bld_all_military_upgrades_wood_2	att_bld_all_military_upgrades_wood_2	true
att_bld_all_military_upgrades_wood_3	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_wood_3	false	att_bld_all_military_upgrades_wood_3	att_bld_all_military_upgrades_wood_3	true
att_bld_all_military_upgrades_wood_3	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_wood_3	false	att_bld_all_military_upgrades_wood_3	att_bld_all_military_upgrades_wood_3	true
att_bld_all_military_upgrades_wood_3	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_wood_3	false	att_bld_all_military_upgrades_wood_3	att_bld_all_military_upgrades_wood_3	true
att_bld_all_military_upgrades_wood_4	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_sassanid_military_upgrades_wood_4	false	att_bld_all_military_upgrades_wood_4	att_bld_all_military_upgrades_wood_4	true
att_bld_all_military_upgrades_wood_4	att_cult_roman	att_sub_cult_roman_east			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_east_military_upgrades_wood_4	false	att_bld_all_military_upgrades_wood_4	att_bld_all_military_upgrades_wood_4	true
att_bld_all_military_upgrades_wood_4	att_cult_roman	att_sub_cult_roman_west			campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_roman_west_military_upgrades_wood_4	false	att_bld_all_military_upgrades_wood_4	att_bld_all_military_upgrades_wood_4	true
att_bld_all_resources_dyes_1	att_cult_barbarian				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_all_resources_dyes_1	false	att_bld_all_resources_dyes_1	att_bld_all_resources_dyes_1	true
att_bld_all_resources_dyes_1	att_cult_eastern				campaign_sho_castle_1_fort		PLACEHOLDER	att_bld_all_resources_dyes_1	false	att_bld_all_resources_dyes_1	att_bld_all_resources_dyes_1	true
