key	index	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	icons_path_units	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	military_group	settler_rebellion_faction	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	mp_stats_name	pre_battle_speech_parameter	can_be_regionless	senator_total	uses_legion_names	can_be_horde	use_military_force_morale	mp_force_gen_template	win_movie	voiceover_subculture	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
att_fact_separatist_visigothic	2041790266	att_sub_cult_barbarian_germanic_east	playable	Visigothic Separatists	Visigothic	155	barbarian		false	false	false	data\ui\	data\ui\flags\VisigothicSeparatists	data\ui\flags\	data\ui\flags\	att_ger_ostrogoths	att_faction_false		false	false	92	92	You are attacking Visigothic Separatists!	You are defending against Visigothic Separatists!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_barbarian_germanic_east	A4A093	000000	000000	000000	000000	000000	000000	4A4A4A
att_fact_separatist_western_roman	2041790270	att_sub_cult_roman_west	playable	Western Roman Separatists	Western Roman	133	default		false	true	true	data\ui\	data\ui\flags\WesternRomanSeparatists	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Western Roman Separatists!	You are defending against Western Roman Separatists!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	B3BDD0	000000	000000	000000	000000	000000	000000	E3DCC9
att_fact_separatist_western_roman_npc	2041790342	att_sub_cult_roman_west	playable	Roman Separatists	Western Roman	133	default		false	false	false	data\ui\	data\ui\flags\Rebels_WestRoman	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Roman Separatists!	You are defending against Roman Separatists!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	5B5B5B	000000	000000	000000	000000	000000	000000	E3DCC9
att_fact_vandali	2041790262	att_sub_cult_barbarian_germanic_east	playable	Vandals	Vandalic	155	barbarian		false	true	true	data\ui\	data\ui\flags\Vandali	data\ui\flags\	data\ui\flags\	att_ger_vandals	att_faction_false		false	false	92	92	You are attacking the Vandals!	You are defending against the Vandals!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	att_mp_force_gen_vandals	att_barbarian_win	att_sub_cult_barbarian_germanic_east	4F634F	000000	000000	000000	000000	000000	000000	EEE19D
att_fact_gepidae	2041790214	att_sub_cult_barbarian_germanic_east	playable	Gepids	Gepid	155	barbarian		false	false	false	data\ui\	data\ui\flags\Gepidae	data\ui\flags\	data\ui\flags\	rex_ger_gepidi	att_faction_false		false	false	92	92	You are attacking the Gepids!	You are defending against the Gepids!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_barbarian_germanic_east	777C68	000000	000000	000000	000000	000000	000000	797709
att_fact_greuthingi	2041790219	att_sub_cult_barbarian_germanic_east	playable	Greuthungians	Greuthingian	155	barbarian		false	false	false	data\ui\	data\ui\flags\Greuthingi	data\ui\flags\	data\ui\flags\	att_ger_ostrogoths	att_faction_false		false	false	92	92	You are attacking the Greuthingians!	You are defending against the Greuthingians!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	default		att_sub_cult_barbarian_germanic_east	929A4A	000000	000000	000000	000000	000000	000000	743734
heruli	2041791072	att_sub_cult_barbarian_germanic_east	playable	Heruli	Herulian	149	barbarian		false	false	false	data\ui\	data\ui\flags\heruli	data\ui\flags\	data\ui\flags\	rex_ger_roxolani	att_faction_false		false	false	92	92	You are attacking the Alans!	You are defending against the Alans!		PBS_PARAMETER_UNUSED	true	1200	false	true	true	att_mp_force_gen_alans	att_barbarian_win	att_sub_cult_barbarian_germanic_east	635928	000000	000000	000000	000000	000000	000000	758835
roman	2041791089	att_sub_cult_roman_west	playable	Western Roman Empire	Western Roman	133	default		false	true	true	data\ui\	data\ui\flags\cordoba	data\ui\flags\	data\ui\flags\	att_rom_east	att_faction_false		false	false	133	133	You are attacking Western Roman Separatists!	You are defending against Western Roman Separatists!		PBS_PARAMETER_UNUSED	true	500	true	true	true	att_mp_force_gen_rome_western	att_roman_west_win	att_sub_cult_roman_west	8F2E2E	000000	EAD709	000000	000000	000000	000000	E3DCC9
att_fact_eastern_roman_empire	2041790204	att_sub_cult_roman_east	playable	Eastern Roman Empire	Eastern Roman	133	default		false	true	true	data\ui\	data\ui\flags\EasternRomanEmpire	data\ui\flags\	data\ui\flags\	att_rom_east	att_faction_false		false	false	133	133	You are attacking the Eastern Roman Empire!	You are defending against the Eastern Roman Empire!		PBS_PARAMETER_UNUSED	true	500	true	false	true	att_mp_force_gen_rome_eastern	att_roman_east_win	att_sub_cult_roman_east	803267	000000	EAD709	000000	000000	000000	000000	664036
att_fact_western_roman_empire	2041790268	att_sub_cult_roman_west	playable	Western Roman Empire	Western Roman	133	default		false	true	true	data\ui\	data\ui\flags\WesternRomanEmpire	data\ui\flags\	data\ui\flags\	att_rom_east	att_faction_false		false	false	133	133	You are attacking the Western Roman Empire!	You are defending against the Western Roman Empire!		PBS_PARAMETER_UNUSED	true	500	true	false	true	att_mp_force_gen_rome_western	att_roman_west_win	att_sub_cult_roman_west	8F2E2E	000000	EAD709	000000	000000	000000	000000	E3DCC9
att_fact_aegyptus	2041790180	att_sub_cult_roman_east	playable	Egypt	Egyptian	133	default		false	false	false	data\ui\	data\ui\flags\Aegyptus	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Egypt!	You are defending against Egypt!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_east	A37693	000000	000000	000000	000000	000000	000000	163307
att_fact_macedonia	2041790234	att_sub_cult_roman_east	playable	Macedonia	Macedonian	133	default		false	false	false	data\ui\	data\ui\flags\Macedonia	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Macedonia!	You are defending against Macedonia!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_east	8B7CBB	000000	000000	000000	000000	000000	000000	D68734
att_fact_oriens	2041790242	att_sub_cult_roman_east	playable	Oriens	Orien	133	default		false	false	false	data\ui\	data\ui\flags\Oriens	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking the Oriens!	You are defending against the Oriens!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_east	845180	000000	000000	000000	000000	000000	000000	CC682A
att_fact_pontus	2041790248	att_sub_cult_roman_east	playable	Pontus	Pontic	133	default		false	false	false	data\ui\	data\ui\flags\Pontus	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Pontus!	You are defending against Pontus!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_east	906F6F	000000	000000	000000	000000	000000	000000	167A1F
att_fact_africa	2041790181	att_sub_cult_roman_west	playable	Africa	African	133	default		false	false	false	data\ui\	data\ui\flags\Africa	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Africa!	You are defending against Africa!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	865050	000000	000000	000000	000000	000000	000000	163307
att_fact_blue	2041790327	att_sub_cult_roman_west	playable	Western Roman Empire	Western Roman	133	default		false	false	false	data\ui\	data\ui\flags\WesternRomanEmpire	data\ui\flags\	data\ui\flags\	att_rom_core			false	false	133	133	You are attacking the Western Roman Empire!	You are defending against the Western Roman Empire!		PBS_PARAMETER_UNUSED	false	500	false	false	true	default		att_sub_cult_roman_west	3232DC	000000	000000	000000	000000	000000	000000	3232DC
att_fact_britannia	2041790195	att_sub_cult_roman_west	playable	Britain	Britannic	133	default		false	false	false	data\ui\	data\ui\flags\Britannia	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Britain!	You are defending against Britain!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	C35C5C	000000	000000	000000	000000	000000	000000	6B6026
att_fact_dacia	2041790200	att_sub_cult_roman_west	playable	Dacia	Dacian	133	default		false	false	false	data\ui\	data\ui\flags\Dacia	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Dacia!	You are defending against Dacia!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	BBA3CB	000000	000000	000000	000000	000000	000000	AB6F00
att_fact_gallia	2041790210	att_sub_cult_roman_west	playable	Gaul	Gallic	133	default		false	false	false	data\ui\	data\ui\flags\Gallia	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Gaul!	You are defending against Gaul!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	B95643	000000	000000	000000	000000	000000	000000	EEE19D
att_fact_hispania	2041790221	att_sub_cult_roman_west	playable	Hispania	Hispanic	133	default		false	false	false	data\ui\	data\ui\flags\Hispania	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Hispania!	You are defending against Hispania!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	9B4049	000000	000000	000000	000000	000000	000000	858585
att_fact_illyricum	2041790226	att_sub_cult_roman_west	playable	Illyria	Illyrian	133	default		false	false	false	data\ui\	data\ui\flags\Illyricum	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Illyria!	You are defending against Illyria!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	915A4D	000000	000000	000000	000000	000000	000000	858585
att_fact_italia	2041790227	att_sub_cult_roman_west	playable	Italia	Italian	133	default		false	false	false	data\ui\	data\ui\flags\Italia	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Italia!	You are defending against Italia!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	B24D4D	000000	000000	000000	000000	000000	000000	235908
att_fact_red	2041790337	att_sub_cult_roman_west	playable	Western Roman Empire	Western Roman	133	default		false	false	false	data\ui\	data\ui\flags\WesternRomanEmpire	data\ui\flags\	data\ui\flags\	att_rom_core			false	false	133	133	You are attacking the Western Roman Empire!	You are defending against the Western Roman Empire!		PBS_PARAMETER_UNUSED	false	500	false	false	true	default		att_sub_cult_roman_west	DC3232	000000	000000	000000	000000	000000	000000	DC3232
att_fact_septem_provinciem	2041790258	att_sub_cult_roman_west	playable	Septimania	Septimanic	133	default		false	false	false	data\ui\	data\ui\flags\SeptemProvinciem	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking Septimania	You are defending against Septimania		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	9A4646	000000	000000	000000	000000	000000	000000	8D0D04
att_fact_soissons	2041790293	att_sub_cult_roman_west	playable	Domain of Soissons	Soisson	133	default		false	false	false	data\ui\	data\ui\flags\Gallia	data\ui\flags\	data\ui\flags\	att_rom_core	att_faction_false		false	false	133	133	You are attacking the Domain of Soissons!	You are defending against the Domain of Soissons!		PBS_PARAMETER_UNUSED	true	500	false	false	true	default		att_sub_cult_roman_west	EEE19D	000000	000000	000000	000000	000000	000000	EEE19D
att_fact_yellow	2041790331	att_sub_cult_roman_west	playable	Western Roman Empire	Western Roman	133	default		false	false	false	data\ui\	data\ui\flags\WesternRomanEmpire	data\ui\flags\	data\ui\flags\	att_rom_core			false	false	133	133	You are attacking the Western Roman Empire!	You are defending against the Western Roman Empire!		PBS_PARAMETER_UNUSED	false	500	false	false	true	default		att_sub_cult_roman_west	DCDC32	000000	000000	000000	000000	000000	000000	DCDC32
att_fact_sassanid_empire	2041790254	att_sub_cult_eastern_sassanid	playable	Sassanid Empire	Sassanid	139	eastern		false	true	true	data\ui\	data\ui\flags\SassanidEmpire	data\ui\flags\	data\ui\flags\	att_est_sassanid	att_faction_false		false	false	139	139	You are attacking the Sassanid Empire!	You are defending against the Sassanid Empire!		PBS_PARAMETER_UNUSED	true	150	false	false	true	att_mp_force_gen_sassanid	att_eastern_win	att_sub_cult_eastern_sassanid	E1CA20	000000	000000	000000	000000	000000	000000	858585
att_fact_abarshahr	2041790178	att_sub_cult_eastern_sassanid	playable	Abarshahr	Abarshahric	122	eastern		false	false	false	data\ui\	data\ui\flags\Abarshahr	data\ui\flags\	data\ui\flags\	att_est_sassanid	att_faction_false		false	false	122	122	You are attacking Abarshahr!	You are defending against Abarshahr!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_sassanid	A5A03C	000000	000000	000000	000000	000000	000000	732A0B
att_fact_abasgia	2041790179	att_sub_cult_eastern_caucasian	playable	Abasgia	Abasgian	122	eastern		false	false	false	data\ui\	data\ui\flags\Abasgia	data\ui\flags\	data\ui\flags\	rex_east_armenia	att_faction_false		false	false	122	122	You are attacking Abasgia!	You are defending against Abasgia!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_caucasian	AC6040	000000	000000	000000	000000	000000	000000	77B559
att_fact_afrighids	2041790182	att_sub_cult_eastern_sassanid	playable	Afrighids	Afrighid	122	eastern		false	false	false	data\ui\	data\ui\flags\Afrighids	data\ui\flags\	data\ui\flags\	att_est_sassanid	att_faction_false		false	false	122	122	You are attacking the Afrighids!	You are defending against the Afrighids!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_sassanid	B9AA55	000000	000000	000000	000000	000000	000000	8D0D04
att_fact_aria	2041790188	att_sub_cult_eastern_sassanid	playable	Aria	Arian	122	eastern		false	false	false	data\ui\	data\ui\flags\Aria	data\ui\flags\	data\ui\flags\	att_est_sassanid	att_faction_false		false	false	122	122	You are attacking Aria!	You are defending against Aria!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_sassanid	92872D	000000	000000	000000	000000	000000	000000	C8954B
att_fact_armenia	2041790189	att_sub_cult_eastern_caucasian	playable	Armenia	Armenian	122	eastern		false	true	true	data\ui\	data\ui\flags\Armenia	data\ui\flags\	data\ui\flags\	rex_east_armenia	att_faction_false		false	false	122	122	You are attacking Armenia!	You are defending against Armenia!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_caucasian	F6E392	000000	000000	000000	000000	000000	000000	E0C54F
att_fact_arran	2041790190	att_sub_cult_eastern_caucasian	playable	Arran	Arran	122	eastern		false	false	false	data\ui\	data\ui\flags\Arran	data\ui\flags\	data\ui\flags\	rex_east_armenia	att_faction_false		false	false	122	122	You are attacking Arran!	You are defending against Arran!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_caucasian	E4C959	000000	000000	000000	000000	000000	000000	68ACFF
att_fact_aturpatakan	2041790192	att_sub_cult_eastern_sassanid	playable	Atropatene	Atropatenian	122	eastern		false	false	false	data\ui\	data\ui\flags\Aturpatakan	data\ui\flags\	data\ui\flags\	att_est_sassanid	att_faction_false		false	false	122	122	You are attacking Atropatene!	You are defending against Atropatene!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_sassanid	CDBD66	000000	000000	000000	000000	000000	000000	69804A
att_fact_kartli	2041790229	att_sub_cult_eastern_caucasian	playable	Kartli	Kartveli	122	eastern		false	false	false	data\ui\	data\ui\flags\Kartli	data\ui\flags\	data\ui\flags\	rex_east_armenia	att_faction_false		false	false	122	122	You are attacking Kartli!	You are defending against Kartli!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_caucasian	D7A539	000000	000000	000000	000000	000000	000000	8D0D04
att_fact_lazica	2041790232	att_sub_cult_eastern_caucasian	playable	Lazica	Lazican	122	eastern		false	false	false	data\ui\	data\ui\flags\Lazica	data\ui\flags\	data\ui\flags\	rex_east_armenia	att_faction_false		false	false	122	122	You are attacking Lazica!	You are defending against Lazica!		PBS_PARAMETER_UNUSED	true	150	false	false	true	default		att_sub_cult_eastern_caucasian	DA9055	000000	000000	000000	000000	000000	000000	BFA64F
