key	text	tooltip
land_units_onscreen_name_rex_rom_auxiliarii_marcomanni_iuniores	Auxiliares Marcomanni iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_marcomanni_seniores	Auxiliares Marcomanni seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_mattiaci_iuniores	Auxiliares Mattiaci iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_mattiaci_seniores	Auxiliares Mattiaci seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_mattiarii_honoriani_gallicani	Auxiliares Mattiarii Honoriani Gallicani (pal)	true
land_units_onscreen_name_rex_rom_auxiliarii_mauri_iuniores	Auxiliares Mauri iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_mauri_seniores	Auxiliares Mauri seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_raetobarii	Auxiliares Raetobarii	true
land_units_onscreen_name_rex_rom_auxiliarii_sagittarii	Auxiliares Sagittarii (limitan)	true
land_units_onscreen_name_rex_rom_sagittarii_gallicani	Auxiliares Sagittarii Gallicani	true
land_units_onscreen_name_rex_rom_sagittarii_lecti	Auxiliares Sagittarii Lecti	true
land_units_onscreen_name_rex_rom_sagittarii_nervii	Auxiliares Sagittarii Nervii	true
land_units_onscreen_name_rex_rom_auxiliarii_sagittarii_orientales	Auxiliares Sagittarii orientales	true
land_units_onscreen_name_rex_rom_sagittarii_tungri	Auxiliares Sagittarii Tungri	true
land_units_onscreen_name_rex_rom_auxiliarii_salii_iuniores	Auxiliares Salii iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_salii_seniores	Auxiliares Salii seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_tervingi	Auxiliares Tervingi	true
land_units_onscreen_name_rex_rom_auxiliarii_thraces	Auxiliares Thraces	true
land_units_onscreen_name_rex_rom_auxiliarii_victores_iuniores	Auxiliares Victores iuniores	true
land_units_onscreen_name_rex_rom_auxiliarii_victores_seniores	Auxiliares Victores seniores (palatina)	true
land_units_onscreen_name_rex_rom_auxiliarii_vigilium	Auxiliares Vigilium (limitan)	true
land_units_onscreen_name_rex_rom_auxiliarii_visi	Auxiliares Visi	true
land_units_onscreen_name_rex_east_sas_azadan	Azadhan Savaran	true
land_units_onscreen_name_rex_east_arm_azat	Azat Ayrudzi	true
land_units_onscreen_name_rex_arab_badyia_camel	Badyia	true
land_units_onscreen_name_rex_arab_badyia_ambushers	Badyia Ambushers	true
land_units_onscreen_name_rex_arab_badyia_horsemen	Badyia Horsemen	true
land_units_onscreen_name_rex_arab_badyia_skirmishers	Badyia Skirmishers	true
land_units_onscreen_name_rex_hun_bagatur	Bagatur	true
land_units_onscreen_name_rex_robb_ala	Bagaudae Ala	true
land_units_onscreen_name_rex_robb_militia	Bagaudae Militia	true
land_units_onscreen_name_rex_sarm_wedge_arcaragantes	Bal — Ældartæ	true
land_units_onscreen_name_rex_sarm_warband_limicantes	Bal - Limæntæ	true
land_units_onscreen_name_rex_sarm_sarmatian_horsemen	Bal Cawæjnonti — Ældartæ	true
land_units_onscreen_name_rex_sarm_horsemen_steppe	Bal Cawæjnonti — Limæntæ	true
land_units_onscreen_name_rex_rom_pereb_balistarii	Balistarii Defectors	true
land_units_onscreen_name_rex_ballista	Balistarii with Ballista	true
land_units_onscreen_name_rex_ballista_giant	Balistarii with Ballista Giant	true
land_units_onscreen_name_rex_rom_onager_bastion	Balistarii with bastion Onager	true
land_units_onscreen_name_rex_rom_cheiroballistra	Balistarii with Cheiroballistra	true
land_units_onscreen_name_rex_rom_onager_large	Balistarii with Large Onager	true
land_units_onscreen_name_rex_rom_onager	Balistarii with Onager	true
land_units_onscreen_name_rex_arab_rumha_baltha	Baltha Rumha	true
land_units_onscreen_name_rex_germ_band_raiders_min	Band Ambush Heriman	true
land_units_onscreen_name_rex_germ_band_archers	Band Archers	true
land_units_onscreen_name_rex_germ_band_choice_archers	Band Chosen Archers	true
land_units_onscreen_name_rex_germ_band_crushers_franc	Band Crushers Franks	true
land_units_onscreen_name_rex_germ_band_crushers_nord	Band Crushers Geats	true
land_units_onscreen_name_rex_germ_band_crushers	Band Crushers Heriman	true
land_units_onscreen_name_rex_germ_band_defenders	Band Heriman	true
land_units_onscreen_name_rex_germ_band_defenders_sueb	Band Heriman Alamanns	true
land_units_onscreen_name_rex_germ_band_defenders_amps	Band Heriman Ampsivarii	true
land_units_onscreen_name_rex_germ_band_defenders_angl	Band Heriman Anglevarii	true
land_units_onscreen_name_rex_germ_band_defenders_bruc	Band Heriman Bructeri	true
land_units_onscreen_name_rex_germ_band_defenders_bucin	Band Heriman Bucinobantes	true
land_units_onscreen_name_rex_germ_band_defenders_franc	Band Heriman Franks	true
land_units_onscreen_name_rex_germ_band_defenders_fris	Band Heriman Frisii	true
land_units_onscreen_name_rex_germ_band_defenders_iuti	Band Heriman Iuthungi	true
land_units_onscreen_name_rex_germ_band_defenders_quadi	Band Heriman Quadi	true
land_units_onscreen_name_rex_germ_band_defenders_nord	Band Heriman Suiones	true
land_units_onscreen_name_rex_germ_band_hunting_dogs	Band Hunting Dogs	true
land_units_onscreen_name_rex_germ_band_mounted	Band Mounted Heriman	true
land_units_onscreen_name_rex_germ_band_pikemen	Band Pikemen	true
land_units_onscreen_name_rex_germ_band_raiders_sueb	Band Raiders Alamanns	true
land_units_onscreen_name_rex_germ_band_raiders_burg	Band Raiders Burgundii	true
land_units_onscreen_name_rex_germ_band_raiders_hama	Band Raiders Chamavi	true
land_units_onscreen_name_rex_germ_band_raiders_franc	Band Raiders Franks	true
land_units_onscreen_name_rex_germ_band_raiders_nord	Band Raiders Geats	true
land_units_onscreen_name_rex_germ_band_raiders	Band Raiders Heriman	true
land_units_onscreen_name_rex_germ_band_raiders_lang	Band Raiders Langobardi	true
land_units_onscreen_name_rex_germ_band_raiders_raet	Band Raiders Raetobarii	true
land_units_onscreen_name_rex_germ_band_raiders_rugi	Band Raiders Rugii	true
land_units_onscreen_name_rex_germ_band_raiders_sax	Band Raiders Saxons	true
land_units_onscreen_name_rex_germ_band_raiders_svio	Band Raiders Suiones	true
land_units_onscreen_name_rex_germ_shield_bearers	Band Shield-Bearers	true
land_units_onscreen_name_rex_germ_shield_bearers_franc	Band Shield-Bearers Franks	true
land_units_onscreen_name_rex_germ_band_spearmen	Band Spearman	true
land_units_onscreen_name_rex_germ_band_spearmen_sueb	Band Spearman Alamanns	true
land_units_onscreen_name_rex_germ_band_spearmen_franc	Band Spearman Franks	true
land_units_onscreen_name_rex_germ_band_spearmen_joget	Band Spearman Joget	true
land_units_onscreen_name_rex_germ_band_spearmen_joget_sueb	Band Spearman Joget Alamanns	true
land_units_onscreen_name_rex_germ_band_spearmen_duget	Band Spearmen Duget	true
land_units_onscreen_name_rex_germ_band_spearmen_duget_franc	Band Spearmen Duget Franks	true
land_units_onscreen_name_rex_germ_band_spearmen_joget_franc	Band Spearmen Joget Franks	true
land_units_onscreen_name_rex_germ_band_swordsmen	Band Swordsmen	true
land_units_onscreen_name_rex_germ_band_swordsmen_chat	Band Swordsmen Chatti	true
land_units_onscreen_name_rex_germ_band_swordsmen_chauc	Band Swordsmen Chauci	true
land_units_onscreen_name_rex_germ_band_swordsmen_duget	Band Swordsmen Duget	true
land_units_onscreen_name_rex_germ_band_swordsmen_duget_franc	Band Swordsmen Duget Franks	true
land_units_onscreen_name_rex_germ_band_swordsmen_franc	Band Swordsmen Franks	true
land_units_onscreen_name_rex_germ_band_swordsmen_joget	Band Swordsmen Joget	true
land_units_onscreen_name_rex_germ_band_swordsmen_joget_franc	Band Swordsmen Joget Franks	true
land_units_onscreen_name_rex_germ_band_swordsmen_joget_sax	Band Swordsmen Joget Saxons	true
land_units_onscreen_name_rex_germ_band_swordsmen_marc	Band Swordsmen Marcomans	true
land_units_onscreen_name_rex_germ_band_swordsmen_sax	Band Swordsmen Saxons	true
land_units_onscreen_name_rex_germ_band_wigman	Band Wigman	true
land_units_onscreen_name_rex_germ_band_wigman_sueb	Band Wigman Alamanns	true
land_units_onscreen_name_rex_germ_band_wigman_bris	Band Wigman Brisigavi	true
land_units_onscreen_name_rex_germ_band_wigman_franc	Band Wigman Franks	true
land_units_onscreen_name_rex_germ_band_wigman_nord	Band Wigman Geats	true
land_units_onscreen_name_rex_germ_band_wigman_sig	Band Wigman Sigambri	true
land_units_onscreen_name_rex_goth_band_aihvamanne	Bandwa Aihvamanne	true
land_units_onscreen_name_rex_goth_band_aihvamanne_alans	Bandwa Aihvamanne Alans	true
land_units_onscreen_name_rex_goth_band_aihvamanne_bugjane	Bandwa Aihvamanne Bugjane	true
land_units_onscreen_name_rex_goth_band_aihvamanne_greutungi	Bandwa Aihvamanne Greutungi	true
land_units_onscreen_name_rex_goth_band_analaugnjai_gadrauhteis_M	Bandwa Analaugnjai Gadrauhteis	true
land_units_onscreen_name_rex_goth_band_analaugnjai_gadrauhteis	Bandwa Analaugnjai Gadrauhteis	true
land_units_onscreen_name_rex_goth_band_aqizjane_silingi	Bandwa Aqizjane Silingi	true
land_units_onscreen_name_rex_goth_band_contofors	Bandwa Contarii	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_gepids	Bandwa Gadrauhteis Gepids	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_greutungi	Bandwa Gadrauhteis Greutungi	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_taifali	Bandwa Gadrauhteis Taifali	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_tervingi_M	Bandwa Gadrauhteis Tervingi	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_tervingi	Bandwa Gadrauhteis Tervingi	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_vandals	Bandwa Gadrauhteis Vandals	true
land_units_onscreen_name_rex_goth_band_gaizjane_M	Bandwa Gaizjane	true
land_units_onscreen_name_rex_goth_band_gaizjane	Bandwa Gaizjane	true
land_units_onscreen_name_rex_goth_band_gaizjane_vandals	Bandwa Gaizjane Vandals	true
land_units_onscreen_name_rex_goth_band_bugjane	Bandwa Gawalidai Bugjane	true
land_units_onscreen_name_rex_goth_band_hairjane_M	Bandwa Hairjane	true
land_units_onscreen_name_rex_goth_band_hairjane	Bandwa Hairjane	true
land_units_onscreen_name_rex_goth_band_hairjane_gepid	Bandwa Hairjane Gepids	true
land_units_onscreen_name_rex_goth_band_hairjane_vandals	Bandwa Hairjane Vandals	true
land_units_onscreen_name_rex_goth_band_leihta_contarii	Bandwa Leihta Contarii	true
land_units_onscreen_name_rex_goth_band_militon_M	Bandwa Militonde	true
land_units_onscreen_name_rex_goth_band_militon	Bandwa Militonde	true
land_units_onscreen_name_rex_goth_band_militon_astringi	Bandwa Militonde Astringi	true
land_units_onscreen_name_rex_goth_band_militon_peucini	Bandwa Militonde Peucini	true
land_units_onscreen_name_rex_goth_band_militon_tervingi_M	Bandwa Militonde Tervingi	true
land_units_onscreen_name_rex_goth_band_militon_tervingi	Bandwa Militonde Tervingi	true
land_units_onscreen_name_rex_goth_band_militon_vandals	Bandwa Militonde Vandals	true
land_units_onscreen_name_rex_goth_band_nutans	Bandwa Nutans	true
land_units_onscreen_name_rex_goth_band_pikemen	Bandwa Pikemen	true
land_units_onscreen_name_rex_goth_band_sahsjane_M	Bandwa Skramjane	true
land_units_onscreen_name_rex_goth_band_sahsjane	Bandwa Skramjane	true
land_units_onscreen_name_rex_goth_band_sahsjane_carpi	Bandwa Skramjane Carpians	true
land_units_onscreen_name_rex_germ_berserker	Berserkers	true
land_units_onscreen_name_rex_slav_ant_squad_bow	Bowmen Antes	true
land_units_onscreen_name_rex_barb_bowmen_ishoda	Bowmen of Exodus	true
land_units_onscreen_name_rex_east_sas_vastrioshan_bow	Bowmen Vastryoshan	true
land_units_onscreen_name_rex_slav_ven_squad_bow	Bowmen Venedians	true
land_units_onscreen_name_rex_germ_brachiati	Brachiati	true
land_units_onscreen_name_rex_germ_brachiati_franc	Brachiati Franks	true
land_units_onscreen_name_rex_germ_brachiati_horsemen	Brachiati Horsemen	true
land_units_onscreen_name_rex_germ_brachiati_horsemen_franc	Brachiati Horsemen Franks	true
land_units_onscreen_name_rex_germ_brachiati_saxons	Brachiati Saxons	true
land_units_onscreen_name_rex_robb_squad_brigands	Brigands Squad	true
land_units_onscreen_name_rex_slav_ven_squad_brigands	Brigands Venedians	true
land_units_onscreen_name_rex_celt_brit_chariot	Brittonic Chariots	true
land_units_onscreen_name_rex_celt_brit_horseman	Brittonic Horsemen	true
land_units_onscreen_name_rex_celt_brit_infantry	Brittonic Infantry	true
land_units_onscreen_name_rex_east_kadisins	Cadiseni Cavalry	true
land_units_onscreen_name_rex_celt_caled_band_defenders	Caledonians Defenders	true
land_units_onscreen_name_rex_celt_caled_band_raiders	Caledonians Raiders	true
land_units_onscreen_name_rex_celt_caled_swordsmen	Caledonians Swordsmen	true
land_units_onscreen_name_rex_east_sas_savaran_camel	Camel Riders	true
land_units_onscreen_name_rex_east_camel_clibanarii	Camelphracts	true
land_units_onscreen_name_rex_candidati	Candidati	true
land_units_onscreen_name_rex_des_axum_caravan_sentinels	Caravan Sentinels	true
land_units_onscreen_name_rex_east_caucasians	Caucasian Defenders	true
land_units_onscreen_name_rex_des_axum_bet_giorgis_cavalry	Cavalry Bet Giorgis	true
land_units_onscreen_name_rex_celt_scot_band_archers	Celtic Archers	true
land_units_onscreen_name_rex_celt_scot_squad_brigands	Celtic Brigands	true
land_units_onscreen_name_rex_celt_scot_band_defenders	Celtic Defenders	true
land_units_onscreen_name_rex_celt_scot_squad_levy	Celtic Levy	true
land_units_onscreen_name_rex_celt_warlord_g	Celtic Nobles	true
land_units_onscreen_name_rex_celt_warlord	Celtic Nobles	true
land_units_onscreen_name_rex_celt_scot_band_raiders	Celtic Raiders	true
land_units_onscreen_name_att_mar_cel_celtic_marauders	Celtic Raiders	true
land_units_onscreen_name_rex_celt_scouts	Celtic Scouts	true
land_units_onscreen_name_rex_celt_scot_band_skirmishers	Celtic Skirmishers	true
land_units_onscreen_name_rex_celt_scot_swordsmen	Celtic Swordsmen	true
land_units_onscreen_name_att_mar_cel_celtic_heavy_marauders	Celtic Swordsmen	true
land_units_onscreen_name_rex_rom_veterani_cent	Centuria Veterana	true
land_units_onscreen_name_rex_sarm_swords_limicantes	Cerqtæ - Limæntæ	true
land_units_onscreen_name_rex_east_chionites	Chionite Cavalry	true
land_units_onscreen_name_att_mar_rom_roman_skirmisher_marines	Classiarii Exculcatores	true
land_units_onscreen_name_att_mar_rom_roman_bowman_marines	Classiarii Sagittarii	true
land_units_onscreen_name_rex_rom_cohors_prima	Cohors Prima	true
land_units_onscreen_name_rex_rom_cohors_secunda	Cohors Secunda	true
land_units_onscreen_name_rex_rom_cohors_tertia	Cohors Tertia	true
land_units_onscreen_name_rex_rom_veterani	Cohors Veterana	true
land_units_onscreen_name_rex_rom_comites_alani	Comites Alani (palatina)	true
land_units_onscreen_name_rex_rom_comites_catafractarii_bucellarii_iuniores	Comites Catafractarii Bucellarii iuniores	true
land_units_onscreen_name_rex_rom_comites_catafractarii_bucellarii_seniores	Comites Catafractarii Bucellarii seniores	true
land_units_onscreen_name_rex_rom_comites_iuniores	Comites iuniores	true
land_units_onscreen_name_rex_rom_comites_sagittarii_armenii	Comites Sagittarii Armeni (palatina)	true
land_units_onscreen_name_rex_rom_comites_seniores	Comites seniores (palatina)	true
land_units_onscreen_name_rex_rom_comites_taifali	Comites Taifali (palatina)	true
land_units_onscreen_name_rex_hun_wedge_arcaragantes	Contarii Akatziri	true
land_units_onscreen_name_rex_slav_ant_contofors	Contarii Antes	true
land_units_onscreen_name_rex_hun_warband_limicantes	Contarii Scirii	true
land_units_onscreen_name_rex_rom_cuneus_armigerorum	Cuneus Equitum Armigerorum	true
land_units_onscreen_name_rex_rom_cuneus_catafractariorum	Cuneus Equitum Catafractariorum	true
land_units_onscreen_name_rex_rom_cuneus_clibanariorum_palmirenorum	Cuneus Equitum Clibanariorum Palmirenorum	true
land_units_onscreen_name_rex_rom_cuneus_dalmatae	Cuneus Equitum Dalmatarum (limitan)	true
land_units_onscreen_name_rex_rom_cuneus_promoti	Cuneus Equitum Promotorum	true
land_units_onscreen_name_rex_rom_cuneus_scutariorum	Cuneus Equitum Scutariorum	true
land_units_onscreen_name_rex_rom_cuneus_stablesianorum	Cuneus Equitum Stablesianorum	true
land_units_onscreen_name_rex_rom_cuneus_sarmatarum	Cuneus Sarmatarum (limitan)	true
land_units_onscreen_name_rex_east_daylamites_infantry	Dailamite Infantry	true
land_units_onscreen_name_rex_east_daylamites	Dailamite Spearmen	true
land_units_onscreen_name_rex_arab_dawsar	Dawsar	true
land_units_onscreen_name_rex_slav_ant_band_defenders	Defenders Antes	true
land_units_onscreen_name_rex_hun_band_militon_peucini	Defenders Gepids	true
land_units_onscreen_name_rex_slav_ven_band_defenders	Defenders Venedians	true
land_units_onscreen_name_rex_rom_pereb_lanciarii	Defensores Defectors	true
land_units_onscreen_name_rex_des_desert_bowmen	Desert Bowmen	true
land_units_onscreen_name_rex_des_desert_guard_g	Desert Guard	true
land_units_onscreen_name_rex_des_desert_guard	Desert Guard	true
land_units_onscreen_name_rex_des_desert_riders	Desert Riders	true
land_units_onscreen_name_rex_des_desert_shield_bearers	Desert Shield-bearers	true
land_units_onscreen_name_rex_des_desert_levy	Desert Tribesmen	true
land_units_onscreen_name_rex_des_desert_warrior_cavalry	Desert Warrior Cavalry	true
land_units_onscreen_name_rex_east_scouts	Eastern Scouts	true
land_units_onscreen_name_rex_germ_einherjar	Einherjar	true
land_units_onscreen_name_rex_des_axum_elite_kushite_archers	Elite Kushite Archers	true
land_units_onscreen_name_rex_rom_equites_armigeri_seniores	Equites Armigeri seniores	true
land_units_onscreen_name_rex_rom_equites_batavi_iuniores	Equites Batavi iuniores	true
land_units_onscreen_name_rex_rom_equites_batavi_seniores	Equites Batavi seniores (palatina)	true
land_units_onscreen_name_rex_rom_equites_brachiati_iuniores	Equites Brachiati iuniores	true
land_units_onscreen_name_rex_rom_equites_brachiati_seniores	Equites Brachiati seniores (palatina)	true
land_units_onscreen_name_rex_rom_equites_catafractarii	Equites Catafractarii	true
land_units_onscreen_name_rex_rom_equites_cetrati	Equites Cetrati	true
land_units_onscreen_name_rex_rom_equites_clibanarii_parthi	Equites Clibanarii Parthi	true
land_units_onscreen_name_rex_rom_equites_cornuti_iuniores	Equites Cornuti iuniores	true
land_units_onscreen_name_rex_rom_equites_cornuti_seniores	Equites Cornuti seniores (palatina)	true
land_units_onscreen_name_rex_rom_equites_dalmatae	Equites Dalmatae	true
land_units_onscreen_name_rex_rom_equites_dalmatae_illyriciani	Equites Dalmatae Illyriciani (limitan)	true
land_units_onscreen_name_rex_rom_equites_mauri	Equites Mauri	true
land_units_onscreen_name_rex_rom_equites_promoti	Equites Promoti	true
land_units_onscreen_name_rex_rom_equites_promoti_illyriciani	Equites Promoti Illyriciani (limitan)	true
land_units_onscreen_name_rex_rom_equites_sagittarii_com	Equites Sagittarii	true
land_units_onscreen_name_rex_rom_equites_sagittarii	Equites Sagittarii (limitan)	true
land_units_onscreen_name_rex_rom_equites_sagittarii_parthi	Equites Sagittarii Parthi	true
land_units_onscreen_name_rex_rom_equites_saraceni	Equites Saraceni	true
land_units_onscreen_name_rex_rom_equites_scutarii	Equites Scutarii	true
land_units_onscreen_name_rex_rom_equites_scutarii_illyriciani	Equites Scutarii Illyriciani (limitan)	true
land_units_onscreen_name_rex_rom_equites_scutarii_orientales	Equites Scutarii Orientales	true
land_units_onscreen_name_rex_rom_equites_stablesiani	Equites Stablesiani	true
land_units_onscreen_name_rex_rom_equites_stablesiani_africani	Equites Stablesiani Africani	true
land_units_onscreen_name_rex_rom_equites_stablesiani_italiciani	Equites Stablesiani Italiciani	true
land_units_onscreen_name_rex_rom_equites_taifali	Equites Taifali	true
land_units_onscreen_name_rex_east_sas_paygan	Eran Paygan	true
land_units_onscreen_name_rex_east_sas_eran_savaran	Eran Savaran	true
land_units_onscreen_name_rex_hun_fast_arrows	Fast Arrows	true
land_units_onscreen_name_rex_hun_fast_arrows_arcaragantes	Fast Arrows Eruli	true
land_units_onscreen_name_rex_des_desert_fast_javelins	Fast-footed Desert Raiders	true
land_units_onscreen_name_rex_des_desert_fast_warriors	Fast-footed Desert Warriors	true
land_units_onscreen_name_rex_sarm_arrows_limicantes	Fattæ — Limæntæ	true
land_units_onscreen_name_rex_sarm_foot_bows	Festæg Ærdungin K'ward	true
land_units_onscreen_name_rex_sarm_foot_tribesmen	Festæg K'ward	true
land_units_onscreen_name_rex_goth_band_militon_tervingi_F	Foederati Cohors Tervingi	true
land_units_onscreen_name_rex_goth_band_aihvamanne_greutungi_F	Foederati Equites Greutungi	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_greutungi_F	Foederati Optimates Greutungi	true
land_units_onscreen_name_rex_goth_band_gadrauhteis_tervingi_F	Foederati Optimates Tervingi	true
land_units_onscreen_name_rex_barb_bowmen2_ishoda	Foot Tribesmen of Exodus	true
land_units_onscreen_name_rex_goth_gahlaibans_g	Gahlaibans	true
land_units_onscreen_name_rex_goth_gahlaibans	Gahlaibans	true
land_units_onscreen_name_rex_goth_gahlaibans_contofors	Gahlaibans Contarii	true
land_units_onscreen_name_rex_des_desert_garama_sentinels	Garama Sentinels	true
land_units_onscreen_name_rex_goth_comites	Gasinþans	true
land_units_onscreen_name_rex_slav_germ_cavalry	German Cavalry	true
land_units_onscreen_name_att_mar_ger_germanic_marauders	Germanic Raiders	true
land_units_onscreen_name_att_mar_ger_chosen_germanic_boatmen	Germanic Swordsmen	true
land_units_onscreen_name_rex_germ_gileibo_g	Gileibo	true
land_units_onscreen_name_rex_germ_gileibo	Gileibo	true
land_units_onscreen_name_rex_germ_gisind	Gisind	true
land_units_onscreen_name_rex_hun_glittering_bagatur	Glittering Bagatur	true
land_units_onscreen_name_rex_sarm_gothish_infantry	Gothic Infantry	true
land_units_onscreen_name_att_mar_ger_gothic_marines	Gothic Swordsmen	true
land_units_onscreen_name_rex_east_sas_clibanarius	Griwbanwar	true
land_units_onscreen_name_rex_sarm_convex_headed	Guppursar	true
land_units_onscreen_name_rex_east_sas_gyan_avspar	Gyan-Avspar	true
land_units_onscreen_name_rex_goth_hansa_mounted	Hansa Aihvamanne	true
land_units_onscreen_name_rex_germ_hansa_ambush	Hansa Ambush	true
land_units_onscreen_name_rex_germ_hansa_bow	Hansa Bowmen	true
land_units_onscreen_name_rex_goth_hansa_bow	Hansa Bugjane	true
land_units_onscreen_name_rex_goth_hansa_hunters	Hansa Diuzafahande	true
land_units_onscreen_name_rex_germ_hansa_hunters	Hansa Hunters	true
land_units_onscreen_name_rex_germ_hansa_mounted	Hansa Mounted	true
land_units_onscreen_name_rex_goth_hansa_watch	Hansa Wardjane	true
land_units_onscreen_name_rex_germ_hansa_watch	Hansa Watchmen's	true
land_units_onscreen_name_rex_east_hillman	Highlanders Warriors	true
land_units_onscreen_name_rex_arab_himyar_cavalry	Himyar Cavalry	true
land_units_onscreen_name_rex_arab_himyarite_shotelai	Himyarite Shotelai	true
land_units_onscreen_name_rex_slav_ant_band_horse_archers	Horse Archers Antes	true
land_units_onscreen_name_rex_barb_horsemen_ishoda	Horsemen of Exodus	true
